id,source,url,text,label,baseline_pred,text_len,is_show,is_ask,is_wiki,uncertainty_score
24,HackerNews,https://github.com/mastra-ai/mastra,"Show HN: Mastra 1.0, open-source JavaScript agent framework from the Gatsby devs.",Advanced,Intermediate,81,True,False,False,5
26,HackerNews,item?id=46619464,Ask HN: What did you find out or explore today?.,,Advanced,48,False,True,False,5
28,HackerNews,https://www.tavus.io/post/sparrow-1-human-level-conversational-timing-in-real-time-voice,Show HN: Sparrow-1 – Audio-native model for human-level turn-taking without ASR.,Advanced,Intermediate,80,True,False,False,5
20,HackerNews,https://httpcolon.dev/,Show HN: HTTP:COLON – A quick HTTP header/directive inspector and reference.,Intermediate,Intermediate,76,True,False,False,5
21,HackerNews,https://movieagent.io,Show HN: Movieagent.io – An agent for movie recommendations (with couple mode).,Intermediate,Advanced,79,True,False,False,5
14,HackerNews,https://cua.ai/docs/lume/guide/getting-started/introduction,Show HN: Lume 0.2 – Build and Run macOS VMs with unattended setup.,Advanced,Intermediate,66,True,False,False,5
15,HackerNews,https://github.com/Loretta1982/xenia,Show HN: Xenia – A monospaced font built with a custom Python engine.,Advanced,Advanced,69,True,False,False,5
10,HackerNews,https://github.com/majcheradam/ocrbase,Show HN: Ocrbase – pdf → .md/.json document OCR and structured extraction API.,Intermediate,Intermediate,78,True,False,False,5
36,HackerNews,https://github.com/chunkhound/chunkhound,"Show HN: ChunkHound, a local-first tool for understanding large codebases.",,Intermediate,74,True,False,False,5
65,HackerNews,https://da.nmcardle.com/grow,Show HN: Artificial Ivy in the Browser.,,Intermediate,39,True,False,False,5
66,HackerNews,item?id=46695821,"Ask HN: Burned out from tech, what else is there?.",,Intermediate,50,False,True,False,5
45,HackerNews,https://github.com/PABannier/WSIStreamer,Show HN: Streaming gigabyte medical images from S3 without downloading them.,,Advanced,76,True,False,False,5
58,HackerNews,https://speedminers.fun/,Show HN: Speed Miners – A tiny RTS resource mini-game.,,Intermediate,54,True,False,False,5
180,HackerNews,https://github.com/willmeyers/window-art,Show HN: A creative coding library for making art with desktop windows.,,Advanced,71,True,False,False,5
173,HackerNews,https://github.com/Stokpan/E80,Show HN: E80: an 8-bit CPU in structural VHDL.,,Intermediate,46,True,False,False,5
174,HackerNews,https://github.com/minimaxir/ballin,"Show HN: An interactive physics simulator with 1000’s of balls, in your terminal.",,Intermediate,81,True,False,False,5
136,HackerNews,https://www.railly.dev/blog/intent-layer/,Show HN: Intent Layer: A context engineering skill for AI agents.,,Intermediate,65,True,False,False,5
146,HackerNews,item?id=46654726,Ask HN: Is it still worth pursuing a software startup?.,,Intermediate,55,False,True,False,5
148,HackerNews,https://beats.lasagna.pizza,"Show HN: Beats, a web-based drum machine.",,Intermediate,41,True,False,False,5
125,HackerNews,item?id=46618714,Ask HN: Share your personal website.,,Intermediate,36,False,True,False,5
111,HackerNews,https://subth.ink/,Show HN: Subth.ink – write something and see how many others wrote the same.,,Advanced,76,True,False,False,5
117,HackerNews,https://github.com/rbbydotdev/opal,"Show HN: Opal Editor, free Obsidian alternative for markdown and site publishing.",,Intermediate,81,True,False,False,5
89,HackerNews,https://github.com/gibram-io/gibram,Show HN: GibRAM an in-memory ephemeral GraphRAG runtime for retrieval.,,Intermediate,70,True,False,False,5
84,HackerNews,https://github.com/chrisdiana/TinyCity,Show HN: TinyCity – A tiny city SIM for MicroPython (Thumby micro console).,,Intermediate,75,True,False,False,5
182,HackerNews,https://github.com/elC0mpa/aws-doctor,Show HN: AWS-doctor – A terminal-based AWS health check and cost optimizer in Go.,,Advanced,81,True,False,False,5
154,HackerNews,https://github.com/dannote/figma-use,Show HN: Figma-use – CLI to control Figma for AI agents.,,Intermediate,56,True,False,False,5
18,HackerNews,https://en.wikipedia.org/wiki/Chatbot_psychosis,Chatbot Psychosis.,Intermediate,Advanced,18,False,False,False,3
22,HackerNews,https://blog.yakkomajuri.com/blog/raising-money-fucked-me-up,Raising money fucked me up.,Beginner,Intermediate,27,False,False,False,3
23,HackerNews,https://www.qu8n.com/posts/most-important-software-engineering-skill-2026,Software engineers can no longer neglect their soft skills.,Advanced,Advanced,59,False,False,False,3
